company,location_hq,num_laid_off,layoff_date,percent_laid_off,industry,source,stage,raised_million,country,date_added
Monarch Tractor,SF Bay Area,35,11/8/24,10%,Other,https://techcrunch.com/2024/11/08/monarch-tractor-lays-off-10-in-restructuring-towards-software-and-licensing-av-tech/,Unknown,$214 ,United States,11/8/24
BigCommerce,Austin,,11/8/24,,Retail,https://www.bizjournals.com/austin/news/2024/11/08/layoffs-bigcommerce-restructure-austin-tech.html,Post-IPO,$224 ,United States,11/8/24
ShareFile,Raleigh,199,11/7/24,,Other,https://www.newsobserver.com/news/business/article295211124.html,Acquired,,United States,11/7/24
Outreach,Seattle,67,11/6/24,9%,Sales,https://www.geekwire.com/2024/outreach-cuts-9-of-workforce-in-latest-layoffs-at-seattle-sales-automation-startup/,Series G,$489 ,United States,11/7/24
Personio,MunichNon-U.S.,115,11/7/24,6%,HR,https://www.businessinsider.de/gruenderszene/business/neue-entlassungswelle-bei-personio-115-leute-muessen-gehen/,Series E,$724 ,Germany,11/7/24
Opendoor,SF Bay Area,300,11/7/24,17%,Real Estate,https://investor.opendoor.com/static-files/b720864a-b9b8-4286-a2f0-d35abb057f17,Post-IPO,"$1,900 ",United States,11/7/24
Akamai,Boston,250,11/7/24,2%,Security,https://www.bizjournals.com/boston/news/2024/11/07/akamai-layoffs-2024.html,Post-IPO,$35 ,United States,11/7/24
Mozilla Foundation,SF Bay Area,,11/5/24,30%,Consumer,https://techcrunch.com/2024/11/05/mozilla-foundation-lays-off-30-staff-drops-advocacy-division/,Subsidiary,$2 ,United States,11/5/24
Just Eat,AmsterdamNon-U.S.,300,11/7/24,2%,Food,https://www.dailymail.co.uk/news/article-14048375/just-eat-job-cuts-redundancies.html,Acquired,$129 ,Netherlands,11/7/24
Avaya,Durham,,11/6/24,,Other,https://www.uctoday.com/unified-communications/avaya-undergoes-another-round-of-layoffs/,Post-IPO,$700 ,United States,11/8/24
Incredibuild,Tel AvivNon-U.S.,18,11/4/24,11%,Product,https://www.calcalistech.com/ctechnews/article/1ifvf95ra,Acquired,$35 ,Israel,11/5/24
iRobot,Boston,105,11/6/24,16%,Consumer,https://techcrunch.com/2024/11/06/irobot-lays-off-another-105-employees/,Post-IPO,$30 ,United States,11/7/24
ConsenSys,New York City,163,10/29/24,20%,Crypto,https://decrypt.co/288832/ethereum-giant-consensys-layoffs-eth-slump,Series D,$726 ,United States,10/29/24
Tidal,New York City,,10/31/24,,Consumer,https://www.engadget.com/entertainment/music/tidal-which-is-in-dire-need-of-some-good-marketing-lays-off-its-entire-product-marketing-team-143045120.html,Acquired,,United States,10/31/24
Maven Clinic,New York City,60,11/1/24,10%,Healthcare,https://endpts.com/maven-clinic-cuts-10-of-workforce-weeks-after-raising-125m/,Series F,$417 ,United States,11/2/24
Atera,Tel AvivNon-U.S.,20,11/3/24,6%,Other,https://www.calcalistech.com/ctechnews/article/byvtjavbyg,Series B,$102 ,Israel,11/4/24
Bowery Farming,New York City,,11/1/24,100%,Food,https://pitchbook.com/news/articles/bowery-indoor-farming-agtech-company-ceases-operations,Unknown,$626 ,United States,11/2/24
Dropbox,SF Bay Area,527,10/30/24,20%,Other,https://techcrunch.com/2024/10/30/dropbox-is-laying-off-20-of-its-staff/,Post-IPO,"$1,700 ",United States,10/30/24
Miro,SF Bay Area,275,10/30/24,18%,Other,https://www.theinformation.com/articles/productivity-startup-miro-to-lay-off-roughly-18-of-staff,Series C,$476 ,United States,10/30/24
F5,Seattle,100,10/29/24,2%,Security,https://www.geekwire.com/2024/f5-confirms-new-round-of-job-cuts-continuing-annual-pattern-of-workforce-reductions/,Post-IPO,,United States,10/29/24
Kraken,SF Bay Area,400,10/30/24,15%,Crypto,https://www.nytimes.com/2024/10/30/technology/kraken-cryptocurrency-layoff-ceo.html,Unknown,$134 ,United States,10/30/24
